scientific_name,corrected_scientific_name
Acanthis flammea flammea,Acanthis flammea
Acanthis flammea/hornemanni,Acanthis flammea
Acanthis sp.,Acanthis flammea
Acanthis/Spinus sp.,Acanthis flammea
Accipiter gentilis atricapillus/laingi,Accipiter gentilis
Accipiter sp.,Accipiter striatus
Accipiter striatus [velox Group],Accipiter striatus
Accipiter striatus ventralis,Accipiter striatus
Accipiter striatus/cooperii,Accipiter striatus
Accipitridae sp.,Accipiter striatus
Accipitriformes/Falconiformes sp.,Accipiter striatus
Actitis hypoleucos/macularius,Actitis hypoleucos
Aechmophorus occidentalis x clarkii,Aechmophorus occidentalis
Aechmophorus occidentalis/clarkii,Aechmophorus occidentalis
Agapornis sp.,Agapornis roseicollis
Agelaius phoeniceus [phoeniceus Group],Agelaius phoeniceus
Agelaius phoeniceus californicus/mailliardorum,Agelaius phoeniceus californicus
Aix sponsa x Anas platyrhynchos,Aix sponsa
Aix sponsa x Lophodytes cucullatus,Aix sponsa
Alcidae sp.,Alca torda
Amazona sp.,Amazona finschi
Ammodramus maritimus maritimus/macgillivraii,Ammodramus maritimus maritimus
Ammodramus nelsoni/caudacutus,Ammodramus nelsoni
Ammodramus sp.,Ammodramus leconteii
Anas acuta x crecca,Anas acuta
Anas americana x crecca,Anas americana
Anas americana x platyrhynchos,Anas americana
Anas crecca crecca/nimia,Anas crecca crecca
Anas crecca crecca/nimia x carolinensis,Anas crecca crecca
Anas cyanoptera x crecca,Anas cyanoptera
Anas discors x clypeata,Anas discors
Anas discors x crecca,Anas discors
Anas discors x cyanoptera,Anas discors
Anas discors/cyanoptera,Anas discors
Anas penelope x americana,Anas penelope 
Anas penelope/americana,Anas penelope
Anas platyrhynchos (Domestic type),Anas platyrhynchos 
Anas platyrhynchos platyrhynchos x diazi,Anas platyrhynchos platyrhynchos
Anas platyrhynchos platyrhynchos/conboschas,Anas platyrhynchos platyrhynchos
Anas platyrhynchos x acuta,Anas platyrhynchos 
Anas platyrhynchos x clypeata,Anas platyrhynchos
Anas platyrhynchos x fulvigula,Anas platyrhynchos
Anas platyrhynchos x wyvilliana,Anas platyrhynchos 
Anas platyrhynchos/fulvigula,Anas platyrhynchos
Anas rubripes x platyrhynchos,Anas rubripes
Anas rubripes/fulvigula,Anas rubripes
Anas rubripes/platyrhynchos,Anas rubripes
Anas sp.,Anas platyrhynchos
Anas sp. (teal sp.),Anas platyrhynchos
Anas strepera x acuta,Anas strepera
Anas strepera x americana,Anas strepera
Anas strepera x clypeata,Anas strepera
Anas strepera x crecca,Anas strepera 
Anas strepera x platyrhynchos,Anas strepera
Anatidae sp.,Anas platyrhynchos
Anatinae sp.,Anas platyrhynchos
Anous stolidus/minutus,Anous stolidus
Anser albifrons gambelli/frontalis,Anser albifrons gambelli
Anser albifrons x Branta canadensis,Anser albifrons 
Anser albifrons x Branta hutchinsii,Anser albifrons
Anser anser (Domestic type),Anser anser 
Anser anser (Domestic type) x Branta canadensis,Anser anser 
Anser anser x Branta canadensis,Anser anser 
Anser cygnoides (Domestic type),Anser cygnoides 
