scientific_name,name_correction,generic_species
Acanthis flammea,,
Acanthis flammea flammea,Acanthis flammea,
Acanthis flammea/hornemanni,Acanthis flammea,
Acanthis hornemanni,,
Acanthis sp.,Acanthis flammea,1
Acanthis/Spinus sp.,Acanthis flammea,1
Accipiter cooperii,,
Accipiter gentilis,,
Accipiter gentilis atricapillus/laingi,Accipiter gentilis,
Accipiter sp.,Accipiter striatus,1
Accipiter striatus,,
Accipiter striatus [velox Group],Accipiter striatus,
Accipiter striatus ventralis,Accipiter striatus,
Accipiter striatus/cooperii,Accipiter striatus,
Accipitridae sp.,Accipiter striatus,1
Accipitriformes/Falconiformes sp.,Accipiter striatus,
Acridotheres tristis,,
Acrocephalus familiaris,,
Actitis hypoleucos/macularius,Actitis hypoleucos,
Actitis macularius,,
Aechmophorus clarkii,,
Aechmophorus occidentalis,,
Aechmophorus occidentalis x clarkii,Aechmophorus occidentalis,
Aechmophorus occidentalis/clarkii,Aechmophorus occidentalis,
Aegolius acadicus,,
Aegolius funereus,,
Aerodramus bartschi,,
Aeronautes saxatalis,,
Aethia cristatella,,
Aethia psittacula,,
Aethia pusilla,,
Aethia pygmaea,,
Agapornis fischeri,,
Agapornis roseicollis,,
Agapornis sp.,Agapornis roseicollis,1
Agelaius phoeniceus,,
Agelaius phoeniceus [phoeniceus Group],Agelaius phoeniceus,
Agelaius phoeniceus californicus/mailliardorum,Agelaius phoeniceus californicus,
Agelaius tricolor,,
Aimophila ruficeps,,
Aix galericulata,,
Aix sponsa,,
Aix sponsa x Anas platyrhynchos,Aix sponsa,
Aix sponsa x Lophodytes cucullatus,Aix sponsa,
Alauda arvensis,,
Alca torda,,
Alcidae sp.,Alca torda,1
Alectoris chukar,,
Alle alle,,
Alopochen aegyptiaca,,
Amandava amandava,,
Amazilia beryllina,,
Amazilia violiceps,,
Amazilia yucatanensis,,
Amazona aestiva,,
Amazona albifrons,,
Amazona amazonica,,
Amazona auropalliata,,
Amazona autumnalis,,
Amazona farinosa,,
Amazona finschi,,
Amazona ochrocephala,,
Amazona oratrix,,
Amazona sp.,Amazona finschi,1
Amazona viridigenalis,,
Ammodramus bairdii,,
Ammodramus caudacutus,,
Ammodramus henslowii,,
Ammodramus leconteii,,
Ammodramus maritimus,,
Ammodramus maritimus maritimus/macgillivraii,Ammodramus maritimus maritimus,
Ammodramus nelsoni,,
Ammodramus nelsoni subvirgatus,,
Ammodramus nelsoni/caudacutus,Ammodramus nelsoni,
Ammodramus savannarum,,
Ammodramus sp.,Ammodramus leconteii,1
Amphispiza bilineata,,
Amphispiza quinquestriata,,
Anas acuta,,
Anas acuta x crecca,Anas acuta,
Anas americana,,
Anas americana x crecca,Anas americana,
Anas americana x platyrhynchos,Anas americana,
Anas bahamensis,,
Anas clypeata,,
Anas crecca,,
Anas crecca carolinensis,,
Anas crecca crecca/nimia,Anas crecca crecca,
Anas crecca crecca/nimia x carolinensis,Anas crecca crecca,
Anas cyanoptera,,
Anas cyanoptera x crecca,Anas cyanoptera,
Anas discors,,
Anas discors x clypeata,Anas discors,
Anas discors x crecca,Anas discors,
Anas discors x cyanoptera,Anas discors,
Anas discors/cyanoptera,Anas discors,
Anas falcata,,
Anas formosa,,
Anas fulvigula,,
Anas fulvigula fulvigula,,
Anas laysanensis,,
Anas penelope,,
Anas penelope x americana,Anas penelope ,
Anas penelope/americana,Anas penelope,
Anas platyrhynchos,,
Anas platyrhynchos (Domestic type),Anas platyrhynchos ,
Anas platyrhynchos diazi,,
Anas platyrhynchos platyrhynchos x diazi,Anas platyrhynchos platyrhynchos,
Anas platyrhynchos platyrhynchos/conboschas,Anas platyrhynchos platyrhynchos,
Anas platyrhynchos x acuta,Anas platyrhynchos ,
Anas platyrhynchos x clypeata,Anas platyrhynchos,
Anas platyrhynchos x fulvigula,Anas platyrhynchos,
Anas platyrhynchos x wyvilliana,Anas platyrhynchos ,
Anas platyrhynchos/fulvigula,Anas platyrhynchos,
Anas querquedula,,
Anas rubripes,,
Anas rubripes x platyrhynchos,Anas rubripes,
Anas rubripes/fulvigula,Anas rubripes,
Anas rubripes/platyrhynchos,Anas rubripes,
Anas sp.,Anas platyrhynchos,1
Anas sp. (teal sp.),Anas platyrhynchos,1
Anas strepera,,
Anas strepera strepera,,
Anas strepera x acuta,Anas strepera,
Anas strepera x americana,Anas strepera,
Anas strepera x clypeata,Anas strepera,
Anas strepera x crecca,Anas strepera ,
Anas strepera x platyrhynchos,Anas strepera,
Anas wyvilliana,,
Anatidae sp.,Anas platyrhynchos,1
Anatinae sp.,Anas platyrhynchos,1
Anhinga anhinga,,
Anous minutus,,
Anous minutus melanogenys,,
Anous stolidus,,
Anous stolidus/minutus,Anous stolidus,
Anser albifrons,,
Anser albifrons albifrons,,
Anser albifrons gambelli/frontalis,Anser albifrons gambelli,
Anser albifrons x Branta canadensis,Anser albifrons ,
Anser albifrons x Branta hutchinsii,Anser albifrons,
Anser anser,,
Anser anser (Domestic type),Anser anser ,
Anser anser (Domestic type) x Branta canadensis,Anser anser ,
Anser anser x Branta canadensis,Anser anser ,
Anser brachyrhynchus,,
Anser cygnoides,,
Anser cygnoides (Domestic type),Anser cygnoides ,
Anser cygnoides (Domestic type) x Branta canadensis,Anser cygnoides ,
Anser erythropus,,
Anser fabalis,,
Anser indicus,,
Anser serrirostris,,
Anser sp. (Domestic type),Anser anser ,1
Anser sp. (Domestic type) x Branta canadensis,Anser anser ,1
Anser/Chen/Branta sp.,Anser anser ,1
Anthracothorax prevostii,,
Anthus cervinus,,
Anthus rubescens,,
Anthus rubescens japonicus,,
Anthus rubescens rubescens/pacificus,Anthus rubescens rubescens,
Anthus sp.,Anthus rubescens,1
Anthus spinoletta,,
Anthus spragueii,,
Antrostomus carolinensis,,
Antrostomus sp.,Antrostomus vociferus,1
Antrostomus vociferus,,
Aphelocoma californica,,
Aphelocoma californica [californica Group],Aphelocoma californica,
Aphelocoma californica [woodhouseii Group],Aphelocoma californica ,
Aphelocoma coerulescens,,
Aphelocoma insularis,,
Aphelocoma wollweberi,,
Apodidae sp.,Chaetura pelagica,1
Apodidae sp. (small swift sp.),Chaetura pelagica,1
Aquila chrysaetos,,
Ara ararauna,,
Ara severus,,
Aramus guarauna,,
Aratinga nenday,,
Aratinga weddellii,,
Archilochus alexandri,,
Archilochus colubris,,
Archilochus colubris/alexandri,Archilochus colubris,
Ardea alba,,
Ardea alba egretta,,
Ardea herodias,,
Ardea herodias (Wurdemann's),Ardea herodias ,
Ardea herodias [herodias Group],Ardea herodias,
Ardea herodias occidentalis,,
Ardeidae sp.,Ardea herodias,1
Ardenna bulleri,,
Ardenna carneipes,,
Ardenna creatopus,,
Ardenna gravis,,
Ardenna grisea,,
Ardenna grisea/tenuirostris,Ardenna grisea,
Ardenna pacifica,,
Ardenna tenuirostris,,
Arenaria interpres,,
Arenaria melanocephala,,
Arremonops rufivirgatus,,
Artemisiospiza belli,,
Artemisiospiza belli belli,,
Artemisiospiza belli canescens,,
Artemisiospiza nevadensis,,
Artemisiospiza nevadensis/belli,Artemisiospiza nevadensis,
Asio flammeus,,
Asio flammeus flammeus,,
Asio otus,,
Asio otus wilsonianus/tuftsi,Asio otus wilsonianus,
Asio sp.,Asio flammeus,1
Athene cunicularia,,
Auriparus flaviceps,,
Aves sp.,.,1
Aythya affinis,,
Aythya americana,,
Aythya americana x affinis,Aythya americana ,
Aythya collaris,,
Aythya collaris x Mergus serrator,Aythya collaris,
Aythya collaris x affinis,Aythya collaris ,
Aythya collaris x fuligula,Aythya collaris ,
Aythya collaris x marila,Aythya collaris ,
Aythya collaris x marila/affinis,Aythya collaris ,
Aythya ferina,,
Aythya fuligula,,
Aythya fuligula x marila/affinis,Aythya fuligula,
Aythya marila,,
Aythya marila/affinis,Aythya marila,
Aythya sp.,Aythya collaris ,1
Aythya valisineria,,
Baeolophus atricristatus,,
Baeolophus bicolor,,
Baeolophus bicolor x atricristatus,Baeolophus bicolor,
Baeolophus bicolor/atricristatus,Baeolophus bicolor,
Baeolophus inornatus,,
Baeolophus inornatus/ridgwayi,Baeolophus inornatus,
Baeolophus ridgwayi,,
Baeolophus wollweberi,,
Bartramia longicauda,,
