genus,order 
Acrocephalus,Passeriformes
Aerodramus,Apodiformes
Aethia,Charadriiformes
Agapornis,Psittaciformes
Alauda,Passeriformes
Amandava,Passeriformes
Anous,Charadriiformes
Anthracothorax,Apodiformes
Ara,Psittaciformes
Bartramia,Charadriiformes
Basileuterus,Passeriformes
Buteogallus,Accipitriformes
Cacatua,Psittaciformes
Callonetta,Anseriformes
Calocitta,Passeriformes
Calonectris,Procellariiformes
Camptostoma,Passeriformes
Carduelis,Passeriformes
Chaetura,Apodiformes
Chasiempis,Passeriformes
Chlidonias,Charadriiformes
Chlorodrepanis,Passeriformes
Chondrohierax,Accipitriformes
Chordeiles,Caprimulgiformes
Coccyzus,Cuculiformes
Coereba,Passeriformes
Contopus,Passeriformes
Copsychus,Passeriformes
Coscoroba,Anseriformes
Coturnicops,Gruiformes
Cuculus,Cuculiformes
Cyanocompsa,Passeriformes
Dendragapus,Galliformes
Diomedea,Procellariiformes
Dolichonyx,Passeriformes
Drepanis,Passeriformes
Eclectus,Psittaciformes
Elanoides,Accipitriformes
Emberiza,Passeriformes
Estrilda,Passeriformes
Estrildidae,Passeriformes
Eugenes,Apodiformes
Euodice,Passeriformes
Euplectes,Passeriformes
Eupsittula,Psittaciformes
Euptilotis,Trogoniformes
Fratercula,Charadriiformes
Gallus,Galliformes
Garrulax,Passeriformes
Geotrygon,Columbiformes
Gracula,Passeriformes
Gygis,Charadriiformes
Gymnogyps,Accipitriformes
Helmitheros,Passeriformes
Hemignathus,Passeriformes
Himatione,Passeriformes
Horornis,Passeriformes
Hydrocoloeus,Charadriiformes
Hylocichla,Passeriformes
Ianthocincla,Passeriformes
Ictinia,Accipitriformes
Jacana,Charadriiformes
Lampornis,Apodiformes
Leiothrix,Passeriformes
Limnothlypis,Passeriformes
Lophura,Galliformes
Loxops,Passeriformes
Lymnocryptes,Charadriiformes
Magumma,Passeriformes
Melanotis,Passeriformes
Melopsittacus,Psittaciformes
Mergellus,Anseriformes
Micrathene,Strigiformes
Milvago,Falconiformes
Mitrephanes,Passeriformes
Motacilla,Passeriformes
Myioborus,Passeriformes
Netta,Anseriformes
Nomonyx,Anseriformes
Numida,Galliformes
Nymphicus,Psittaciformes
Oceanites,Procellariiformes
Oceanodroma,Procellariiformes
Onychoprion,Charadriiformes
Oreomystis,Passeriformes
Oressochen,Anseriformes
Pachyramphus,Passeriformes
Pagophila,Charadriiformes
Palmeria,Passeriformes
Pardirallus,Gruiformes
